"","证券代码","申万一级行业","净资产收益率ROE.平均...报告期..1993一季..单位...","净资产收益率ROE.平均...报告期..1993中报..单位...","净资产收益率ROE.平均...报告期..1993三季..单位...","净资产收益率ROE.平均...报告期..1993年报..单位...","净资产收益率ROE.平均...报告期..1994一季..单位...","净资产收益率ROE.平均...报告期..1994中报..单位...","净资产收益率ROE.平均...报告期..1994三季..单位...","净资产收益率ROE.平均...报告期..1994年报..单位...","净资产收益率ROE.平均...报告期..1995一季..单位...","净资产收益率ROE.平均...报告期..1995中报..单位...","净资产收益率ROE.平均...报告期..1995三季..单位...","净资产收益率ROE.平均...报告期..1995年报..单位...","净资产收益率ROE.平均...报告期..1996一季..单位...","净资产收益率ROE.平均...报告期..1996中报..单位...","净资产收益率ROE.平均...报告期..1996三季..单位...","净资产收益率ROE.平均...报告期..1996年报..单位...","净资产收益率ROE.平均...报告期..1997一季..单位...","净资产收益率ROE.平均...报告期..1997中报..单位...","净资产收益率ROE.平均...报告期..1997三季..单位...","净资产收益率ROE.平均...报告期..1997年报..单位...","净资产收益率ROE.平均...报告期..1998一季..单位...","净资产收益率ROE.平均...报告期..1998中报..单位...","净资产收益率ROE.平均...报告期..1998三季..单位...","净资产收益率ROE.平均...报告期..1998年报..单位...","净资产收益率ROE.平均...报告期..1999一季..单位...","净资产收益率ROE.平均...报告期..1999中报..单位...","净资产收益率ROE.平均...报告期..1999三季..单位...","净资产收益率ROE.平均...报告期..1999年报..单位...","净资产收益率ROE.平均...报告期..2000一季..单位...","净资产收益率ROE.平均...报告期..2000中报..单位...","净资产收益率ROE.平均...报告期..2000三季..单位...","净资产收益率ROE.平均...报告期..2000年报..单位...","净资产收益率ROE.平均...报告期..2001一季..单位...","净资产收益率ROE.平均...报告期..2001中报..单位...","净资产收益率ROE.平均...报告期..2001三季..单位...","净资产收益率ROE.平均...报告期..2001年报..单位...","净资产收益率ROE.平均...报告期..2002一季..单位...","净资产收益率ROE.平均...报告期..2002中报..单位...","净资产收益率ROE.平均...报告期..2002三季..单位...","净资产收益率ROE.平均...报告期..2002年报..单位...","净资产收益率ROE.平均...报告期..2003一季..单位...","净资产收益率ROE.平均...报告期..2003中报..单位...","净资产收益率ROE.平均...报告期..2003三季..单位...","净资产收益率ROE.平均...报告期..2003年报..单位...","净资产收益率ROE.平均...报告期..2004一季..单位...","净资产收益率ROE.平均...报告期..2004中报..单位...","净资产收益率ROE.平均...报告期..2004三季..单位...","净资产收益率ROE.平均...报告期..2004年报..单位...","净资产收益率ROE.平均...报告期..2005一季..单位...","净资产收益率ROE.平均...报告期..2005中报..单位...","净资产收益率ROE.平均...报告期..2005三季..单位...","净资产收益率ROE.平均...报告期..2005年报..单位...","净资产收益率ROE.平均...报告期..2006一季..单位...","净资产收益率ROE.平均...报告期..2006中报..单位...","净资产收益率ROE.平均...报告期..2006三季..单位...","净资产收益率ROE.平均...报告期..2006年报..单位...","净资产收益率ROE.平均...报告期..2007一季..单位...","净资产收益率ROE.平均...报告期..2007中报..单位...","净资产收益率ROE.平均...报告期..2007三季..单位...","净资产收益率ROE.平均...报告期..2007年报..单位...","净资产收益率ROE.平均...报告期..2008一季..单位...","净资产收益率ROE.平均...报告期..2008中报..单位...","净资产收益率ROE.平均...报告期..2008三季..单位...","净资产收益率ROE.平均...报告期..2008年报..单位...","净资产收益率ROE.平均...报告期..2009一季..单位...","净资产收益率ROE.平均...报告期..2009中报..单位...","净资产收益率ROE.平均...报告期..2009三季..单位...","净资产收益率ROE.平均...报告期..2009年报..单位...","净资产收益率ROE.平均...报告期..2010一季..单位...","净资产收益率ROE.平均...报告期..2010中报..单位...","净资产收益率ROE.平均...报告期..2010三季..单位...","净资产收益率ROE.平均...报告期..2010年报..单位...","净资产收益率ROE.平均...报告期..2011一季..单位...","净资产收益率ROE.平均...报告期..2011中报..单位...","净资产收益率ROE.平均...报告期..2011三季..单位...","净资产收益率ROE.平均...报告期..2011年报..单位...","净资产收益率ROE.平均...报告期..2012一季..单位...","净资产收益率ROE.平均...报告期..2012中报..单位...","净资产收益率ROE.平均...报告期..2012三季..单位...","净资产收益率ROE.平均...报告期..2012年报..单位...","净资产收益率ROE.平均...报告期..2013一季..单位...","净资产收益率ROE.平均...报告期..2013中报..单位...","净资产收益率ROE.平均...报告期..2013三季..单位...","净资产收益率ROE.平均...报告期..2013年报..单位...","净资产收益率ROE.平均...报告期..2014一季..单位...","净资产收益率ROE.平均...报告期..2014中报..单位...","净资产收益率ROE.平均...报告期..2014三季..单位...","净资产收益率ROE.平均...报告期..2014年报..单位...","净资产收益率ROE.平均...报告期..2015一季..单位...","净资产收益率ROE.平均...报告期..2015中报..单位...","净资产收益率ROE.平均...报告期..2015三季..单位...","净资产收益率ROE.平均...报告期..2015年报..单位...","净资产收益率ROE.平均...报告期..2016一季..单位...","净资产收益率ROE.平均...报告期..2016中报..单位...","净资产收益率ROE.平均...报告期..2016三季..单位...","净资产收益率ROE.平均...报告期..2016年报..单位...","净资产收益率ROE.平均...报告期..2017一季..单位...","净资产收益率ROE.平均...报告期..2017中报..单位...","净资产收益率ROE.平均...报告期..2017三季..单位...","净资产收益率ROE.平均...报告期..2017年报..单位..."
"22","000026.SZ","轻工制造",NA,NA,NA,39.8793,NA,17.5175,NA,30.1678,NA,13.8769,NA,28.75,NA,9.1958,NA,21.7422,NA,13.0107,NA,16.2382,NA,5.7137,NA,8.3969,NA,1.2562,NA,5.5816,NA,1.2726,NA,2.4981,NA,2.7878,NA,1.9174,0.681,1.4788,"2.1054","-14.1025","0.7214",1.184,1.4158,"0.9920",0.4258,"0.3027","0.2051",0.3695,0.1454,1.0019,1.7819,"3.0468","0.9105",2.441,"3.6991","5.5210",2.0978,"4.6405","8.0927","10.0295",2.3546,5.9617,"8.3820","9.8279","1.5481","4.0324","6.9924","10.1127",2.792,5.7608,"9.3027","9.4901",2.8609,6.6364,10.3965,"12.0028","2.5169",4.6882,6.7287,"8.1760",2.3749,4.6705,7.0888,"8.7241",2.8366,"5.6517",8.0333,9.186,2.7127,"4.4204","6.3875","6.1894",1.1767,2.617,4.6371,"4.7387",1.8913,3.6183,5.6456,"5.7949"
"100","000488.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7114,NA,11.4047,NA,8.3814,NA,13.7141,NA,8.6324,NA,11.0026,NA,3.4238,NA,4.7017,1.5673,4.304,"6.7639","11.3428","3.4210",9.3624,12.9898,"15.8790",3.0195,"6.5307","9.2626",10.9327,3.4586,6.5902,9.4638,"11.6924","2.8009",5.3152,"8.1784","6.1444",2.6783,"5.4442","9.3961","12.9913",5.2257,9.0736,"11.9809","10.2389","0.0640","1.2818","3.7117","6.6211",1.816,4.6808,"6.4078","8.7708",1.7242,3.5903,4.6719,"4.4950","0.1135",0.7022,0.9907,"1.6200",0.5176,2.4296,3.8345,"5.1127",0.5783,"1.7522",2.4565,3.6141,0.6886,"1.9844","3.6870","6.6337",2.2087,5.1908,8.0034,"10.5601",3.1169,7.7622,11.1094,"15.0781"
"169","000587.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,36.0228,NA,NA,NA,32.4658,NA,7.0563,NA,25.299,NA,7.3636,NA,12.1619,NA,5.6417,NA,10.8364,NA,1.5329,NA,9.996,NA,1.4931,NA,5.7035,NA,3.4962,NA,8.6617,0.7704,0.1297,"-3.6043","-26.7411","-3.2046",-7.755,-9.0641,"-61.0621",-0.49,"-11.0014","-15.4092",6.2884,0.096,0.4607,-8.7891,"-150.0280","-63.7452",-97.5899,"-377.8450","",NA,"","","",NA,NA,"","","","","","",NA,NA,"","",NA,NA,216.7254,"218.3613","4.3125",7.9522,13.3238,"18.5413",2.6339,5.4412,11.4116,"13.1095",3.0288,"5.6539",9.1089,11.405,2.4286,"5.3505","8.7778","6.7076",2.0016,6.2645,8.8407,"12.9574",1.276,4.2695,8.2712,"11.4388"
"219","000659.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,19.9109,NA,NA,NA,18.8069,NA,9.9173,NA,19.2344,NA,9.0273,NA,24.5906,NA,17.9164,NA,17.2605,NA,3.9369,NA,18.2988,NA,3.3505,NA,8.7561,NA,2.6315,NA,7.1516,2.1537,4.8599,"7.7188","10.4745","2.0667",4.5817,5.3925,"5.3800",2.2399,"4.8955","6.6774",6.869,1.5886,2.9673,4.8038,"3.7775","1.6228",3.742,"5.0285","4.7448",1.3989,"3.4576","6.1129","4.6491",0.7936,2.5903,"4.5505","2.5047","0.8333","4.7373","8.0675","6.0634",1.3951,4.255,"8.5974","6.7922",1.3184,2.9569,4.7891,"1.9547","-0.6523",0.0646,0.5414,"-8.1787",-2.8943,-3.2509,-5.308,"-69.4661",6.0383,"8.1473",9.7766,3.805,-3.796,"0.3485","-0.7347","-6.1206",-4.8155,-5.4722,-7.8276,"-74.9735",-2.2758,2.1237,8.2558,"16.4927"
"222","000663.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,19.3534,NA,NA,NA,20.2102,NA,11.2452,NA,17.7979,NA,7.8374,NA,24.8185,NA,17.6222,NA,29.9917,NA,17.2453,NA,13.3981,NA,3.5582,NA,2.7575,NA,2.5509,NA,2.1326,0.0158,1.6798,"0.6138","3.8963","0.9966",3.2638,4.1462,"5.2096",0.5122,"2.4318","3.4123",0.9819,0.4702,1.3238,1.7568,"1.3603","0.4045",-2.4383,"-2.2037","-6.0503",0.5001,"1.1973","1.6066","6.3069",0.3665,0.649,"0.3638","0.5649","0.2213","0.4582","0.3380","-1.8831",-0.2147,-3.0379,"0.2568","1.9677",-0.4271,-3.3852,-3.0988,"-12.5777","-1.9014",-3.7873,-3.2008,"3.0844",-0.4678,-3.1281,-1.6884,"3.2515",-2.9346,"-2.6293",-1.5437,-6.3028,-0.2768,"0.8069","0.6073","3.8425",-0.8496,0.3379,0.4384,"5.9372",-0.826,0.3045,1.3704,"3.1928"
"329","000812.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6058,NA,NA,NA,21.1843,NA,4.6262,NA,14.0639,NA,4.1072,NA,11.2409,NA,3.7085,NA,10.8474,NA,2.796,NA,6.4903,0.3562,1.5722,"1.8579","7.2392","0.8414",1.9732,5.9332,"8.6531",0.3924,"0.9930","1.5915",4.5309,0.8299,1.4167,1.6509,"3.7500","0.5210",0.5001,"-0.1779","-25.0871",0.6681,"9.5723","11.0720","12.2938",0.7303,2.6714,"3.9618","3.7463","1.0350","3.6804","5.4478","8.0864",1.3635,3.5554,"4.2984","8.0352",1.3197,3.6091,5.7568,"10.4458","1.2236",3.3467,6.4229,"11.7312",1.6303,4.2491,7.2092,"9.3369",2.0288,"3.9590",5.6822,8.5294,0.8184,"2.4987","2.2790","2.2812",0.716,1.5402,2.4552,"3.9519",0.7234,1.1263,0.8144,"2.4182"
"331","000815.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6704,NA,NA,NA,18.3345,NA,3.9941,NA,13.347,NA,4.1207,NA,11.5165,NA,3.3815,NA,9.1943,NA,3.0959,NA,7.323,1.1325,2.1248,"3.5260","7.2059","1.8893",3.8084,5.3096,"7.1660",1.7757,"4.4721","6.7204",8.7443,1.8739,4.6531,6.1056,"8.0774","1.4366",3.5209,"5.2876","4.1927",1.469,"2.9906","3.8127","7.4973",1.319,5.3152,"5.7289","7.4876","0.0958","0.3469","0.5114","0.8488",0.9415,-8.4488,"-10.6428","-13.1436",-1.3714,-6.7189,-12.964,"-25.7922","-3.0170",-13.1418,-14.0155,"3.7943",-2.0389,-12.74,-21.2584,"-42.6717",-9.9284,"-35.2626",-174.6058,-469.0294,NA,"","","",-98.4224,-4.9253,-6.9159,"0.3530",-0.504,-0.1781,0.1838,"1.2889"
"392","000910.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7416,NA,NA,NA,40.1719,NA,5.5947,NA,14.7146,NA,2.4442,NA,7.4995,NA,2.4209,NA,7.0645,1.0269,2.3225,"3.8063","7.3659","1.2391",2.6314,4.1075,"7.4404",1.3033,"2.5365","3.8042",6.1936,1.2255,2.5036,3.8931,"5.0786","1.2798",4.0994,"7.6314","13.5073",2.7402,"5.8531","9.5646","14.3617",2.1267,4.9057,"7.2224","10.3614","1.7799","4.0807","6.4644","10.2374",2.0367,4.4488,"7.4767","9.1081",2.0772,3.6135,5.7316,"6.3401","1.1385",1.8404,2.9042,"5.3709",0.7839,1.4223,2.5232,"5.3583",0.8296,"1.9171",3.2047,6.3933,0.9142,"2.6846","5.9413","12.9570",1.2723,4.4361,11.5811,"20.8158",1.3916,4.7529,11.8794,"20.6092"
"476","002012.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","35.3312","",NA,NA,"30.3906",NA,"7.6058","11.8047",17.757,3.7642,4.9554,6.6406,"7.2854","0.7276",1.6372,"2.0257","2.3117",-4.5989,"-0.4508","-1.1463","-4.8379",4.3434,5.417,"6.9325","6.4875","0.8883","5.0969","10.2577","16.7540",6.3494,13.2748,"18.3373","24.7128",5.4557,12.2131,18.7248,"15.2435","2.0642",4.304,6.26,"7.8621",1.4238,2.9258,4.2589,"1.3001",0.9412,"2.7577",3.1821,3.5607,0.7344,"1.5238","1.7599","1.6489",-0.5224,-0.2487,-1.3532,"0.7336",1.4374,1.8275,2.017,"2.5523"
"478","002014.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","34.5973","",NA,NA,"33.3976",NA,"10.1793","13.6372",18.0143,2.6434,6.1667,8.6778,"12.6648","3.1746",6.3521,"8.4259","12.9925",3.3775,"6.9293","7.7439","11.3544",2.5934,5.2504,"7.8848","11.4003","2.9775","6.3192","9.5370","15.4963",3.5189,7.2846,"11.1296","16.8998",4.036,8.2413,12.7961,"18.5461","4.5389",9.427,11.2055,"16.0065",3.0873,5.5565,8.5051,"12.2710",2.3466,"4.5038",6.981,10.2286,2.4071,"5.1521","7.9672","11.3559",2.5363,5.4055,8.8557,"12.1635",2.5213,4.9457,7.9295,"11.7722"
"531","002067.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",18.1896,NA,NA,NA,"18.7140","",8.6493,"9.1472","11.8671",3.0316,"6.2132","9.0655","6.4504",0.7914,2.0824,"1.6301","-11.6265","0.1922","0.6405","0.9725","1.8768",1.9177,3.4585,"4.2697","6.9782",2.4283,3.9989,5.2968,"5.3395","1.0738",1.2154,1.2224,"0.5243",0.1652,0.3877,0.3697,"0.4491",0.1007,"1.1243",0.2127,0.3929,0.0874,"0.2149","0.2492","0.3977",5.3993,5.8686,5.699,"10.2613",3.8814,7.0218,13.8112,"17.8811"
"542","002078.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",32.6457,NA,NA,NA,"31.4792","",13.3763,"19.2794","19.4562",2.8717,"7.2758","11.3845","17.2096",4.3666,8.9847,"12.6212","9.1413","2.3025","5.7688","11.8079","17.1055",5.5163,11.173,"15.5983","19.4518",5.4875,9.559,13.4911,"13.4380","0.6502",2.6819,3.907,"4.5041",1.3206,3.1199,4.5117,"6.2979",2.1001,"4.1603",6.0611,8.9191,1.9093,"4.1702","6.8484","10.7462",2.0105,4.9171,9.05,"14.1379",5.3785,10.5078,16.0505,"22.1372"
"548","002084.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",36.5857,NA,NA,NA,"24.9314","",25.1378,"42.0156","27.9206",4.779,"9.5924","12.9679","14.6273",1.1578,4.4963,"6.7207","6.8352","-1.2324","-0.9050","0.4506","2.4023",1.6829,4.5412,"7.2256","9.7331",1.2243,2.6419,2.6778,"1.1074","0.1889",1.8584,3.2298,"4.6084",0.3514,1.6799,3.2863,"5.2234",0.0538,"1.7167",3.335,5.228,0.1956,"2.0080","5.5310","4.8251",0.6982,2.0344,5.509,"7.3900",1.3812,3.3642,5.4121,"6.5543"
"581","002117.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",27.6722,NA,NA,NA,"29.4254","",15.5631,"","28.2625",3.1593,"9.6564","12.1764","16.0797",3.0425,7.8559,"9.7226","11.5132","3.1896","8.6391","10.9207","13.4394",3.6687,9.5982,"9.0470","10.3033",2.1978,6.4604,7.5628,"8.6367","2.5197",5.2661,7.5648,"9.5567",2.8153,5.9688,8.6694,"11.3256",3.4652,"6.6110",9.7998,13.5458,3.3738,"7.1117","11.1461","15.9244",3.2969,6.9126,10.3959,"14.9318",2.781,6.5809,11.1907,"15.2828"
"655","002191.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",46.9452,NA,NA,NA,"40.8075","",NA,"","35.9208",NA,"18.0232","23.8119","14.8776",2.8044,5.5626,"9.1290","12.7541","4.5331","9.1168","12.7289","18.2413",5.232,10.1371,"13.5754","15.6745",5.5932,9.4798,14.5943,"19.3862","6.8730",10.8367,14.549,"19.5675",6.3577,10.3817,13.8195,"17.9960",6.3814,"10.5078",13.5949,18.0744,7.3493,"10.8613","13.9168","18.9287",5.5712,8.4076,10.366,"13.2094",3.8021,6.7017,9.4894,"10.4985"
"692","002228.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"18.5100","",NA,"","25.1507",NA,"","","33.1609",7.558,9.1465,"14.9056","20.0209","2.5599","6.7636","11.7738","16.2206",2.7029,4.8994,"8.0606","11.4099",1.4959,3.7658,6.1929,"8.7976","1.0724",2.8137,4.7012,"6.7912",1.4767,5.2297,7.285,"10.2026",2.0254,"6.6500",9.1162,12.4439,1.862,"5.1256","7.1377","8.7305",1.4103,3.2345,4.4179,"6.4340",1.8597,4.3292,6.2178,"7.8909"
"693","002229.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"38.1451","",NA,"","44.6732",NA,"","","34.4143",6.5187,6.8274,"9.4373","13.6388","2.6472","5.5722","7.6852","10.5190",2.7105,5.2608,"7.3218","10.0921",2.8104,6.1529,6.5786,"8.8917","1.4340",2.927,4.1946,"6.4483",1.2524,3.2303,4.4201,"5.9206",0.7633,"2.1722",2.4746,3.2432,-0.4269,"-0.7903","-1.3310","1.0587",-1.1796,-2.1982,-0.9638,"1.0070",-0.7117,-1.02,-0.6959,"0.6549"
"699","002235.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"14.2763","",NA,"","24.6705",NA,"","","37.1394",6.5474,8.6466,"12.3085","11.8849","2.4929","6.0769","9.3502","9.4094",2.2819,0.4292,"1.0797","0.5471",0.2157,1.1953,1.2903,"0.8865","0.6336",2.108,2.7401,"2.1326",0.5463,1.6834,2.0059,"2.0653",0.6375,"1.5169",0.4732,-23.0661,0.4377,"1.6614","2.3809","3.0357",0.2183,1.5712,1.2456,"0.8517",0.7913,1.5766,2.6269,"-15.9017"
"704","002240.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"26.1363","",NA,"","33.4160",NA,"","","36.7256",2.8816,3.4735,"5.2769","5.8701","-1.1938","-1.6972","-1.2858","-2.9539",0.9621,1.174,"0.6161","1.1448",-1.5903,-2.559,0.1639,"0.5605","-1.9507",-3.1815,-5.0367,"-7.2121",-0.5652,0.3781,0.2349,"0.6118",-0.3499,"0.3517",0.4602,0.7246,-0.1878,"-0.3976","-3.0009","-13.1376",-2.5443,-4.708,-4.2744,"1.6709",0.1243,0.5479,1.2992,"1.5203"
"707","002243.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"23.1947","",NA,"","26.6937",NA,"","","32.4598",8.351,7.98,"11.4777","15.1977","2.9226","6.6113","9.6673","13.5208",3.7231,8.7494,"12.8519","17.3572",4.1321,8.758,12.2727,"16.0206","2.7371",4.7514,7.7711,"10.4970",2.0944,3.0691,4.9711,"5.4819",0.2621,"0.0953",-0.4435,-2.4867,-0.9614,"-0.8779","-0.1868","0.5294",0.2795,0.6861,1.1988,"1.8008",0.6204,1.7334,2.3317,"2.8457"
"764","002301.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","22.4222",NA,"","","29.4009",NA,NA,"","21.9764","","11.1789","13.5932","11.5691",0.5693,2.7552,"3.6926","5.2760",0.8277,3.6942,4.8386,"6.5069","0.8321",3.6406,4.9274,"6.4004",0.4131,0.8492,1.3508,"2.4525",0.578,"1.1378",1.41,2.5715,0.6236,"-1.7823","-1.6853","1.7449",0.7024,4.0539,5.7463,"8.8778",1.6281,4.4448,5.3748,"7.6431"
"766","002303.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","32.0913",NA,"","","50.7416",NA,NA,"","45.0776","","18.5199","29.8488","14.8598",1.7632,4.8673,"7.5223","9.0238",1.3136,4.7276,7.039,"6.3208","1.0697",2.3843,3.9367,"6.1078",1.57,4.0321,6.5148,"9.2288",2.1727,"5.5473",8.9278,12.5727,2.7199,"6.3859","8.4070","9.6423",1.513,4.6098,8.5877,"7.0512",1.3201,3.5764,6.0548,"8.4005"
"808","002345.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","23.7653",NA,"","","30.4701",NA,NA,"","21.5776","","14.4448","21.3117","28.2845",3.9104,6.9686,"9.9600","12.4057",3.1021,5.5224,9.0109,"11.0770","3.4091",5.8009,7.4026,"9.0991",4.0496,7.1251,7.7069,"9.5163",3.3434,"5.6285",7.7788,9.5109,3.2755,"5.7912","7.9012","10.3131",3.1162,5.5032,7.4982,"8.9294",3.4205,5.9025,7.6369,"9.2937"
"811","002348.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","13.5867",NA,"","","19.5171",NA,NA,"","27.3567","","16.2132","25.2991","33.2495",2.3996,6.4752,"9.6153","10.2196",1.8172,4.9356,7.7926,"8.0313","1.4349",3.5756,5.3135,"5.7355",1.7133,4.7976,5.995,"5.7174",1.5543,"3.0566",4.4194,3.9115,1.2334,"2.5424","3.8669","4.6559",0.8214,1.877,3.0843,"3.4629",0.7211,2.4454,3.3135,"4.3856"
"819","002356.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","46.4391",NA,"","","38.0084",NA,NA,"","24.7669","","6.7852","11.0726","23.0490",0.1396,0.633,"1.5963","4.8908",0.133,0.4374,0.8265,"2.2205","0.0853",0.3814,0.7303,"2.2666",0.063,0.4074,0.7387,"2.3039",0.055,"0.3895",0.7911,3.635,0.0787,"3.8872","4.1157","7.0090",1.2961,5.8925,8.1184,"8.6429",0.9231,5.01,6.6769,"8.2998"
"952","002489.SZ","轻工制造",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,"","",NA,NA,NA,NA,"","",NA,"","13.1438",NA,"","","32.9268",NA,NA,"","36.5172","","","","32.7646",NA,28.3585,"25.7988","13.4685",4.5014,6.9916,6.2941,"8.6649","4.8224",6.9349,5.245,"6.2410",5.3773,9.0186,7.9189,"8.4505",3.1023,"5.0517",4.5764,10.0318,6.7765,"13.3211","12.0908","15.8272",5.1686,6.8016,4.9592,"1.8710",7.2383,7.5364,5.1144,"2.4138"
